,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,neg_per
129,2020-07-08,81556500,273.175995,277.971985,274.31601,241.731995,10492.5,10343.889648,10433.650391,10207.629883,0.18683651804670912
130,2020-07-09,58588000,278.855988,273.175995,277.971985,274.31601,10547.75,10492.5,10343.889648,10433.650391,0.18455743879472694
131,2020-07-10,116688000,308.929993,278.855988,273.175995,277.971985,10617.44043,10547.75,10492.5,10343.889648,0.17158671586715868
132,2020-07-13,194927000,299.411987,308.929993,278.855988,273.175995,10390.839844,10617.44043,10547.75,10492.5,0.2035448827901658
133,2020-07-14,117090500,303.359985,299.411987,308.929993,278.855988,10488.580078,10390.839844,10617.44043,10547.75,0.2573623559539053
134,2020-07-15,81839000,309.201996,303.359985,299.411987,308.929993,10550.490234,10488.580078,10390.839844,10617.44043,0.22988505747126436
135,2020-07-16,71504000,300.127991,309.201996,303.359985,299.411987,10473.830078,10550.490234,10488.580078,10390.839844,0.22722400857449088
136,2020-07-17,46650000,300.167999,300.127991,309.201996,303.359985,10503.19043,10473.830078,10550.490234,10488.580078,0.21923076923076923
137,2020-07-20,85607000,328.600006,300.167999,300.127991,309.201996,10767.089844,10503.19043,10473.830078,10550.490234,0.22790697674418606
138,2020-07-21,80786500,313.6719970000001,328.600006,300.167999,300.127991,10680.360352,10767.089844,10503.19043,10473.830078,0.21467098166127294
139,2020-07-22,70805500,318.466003,313.6719970000001,328.600006,300.167999,10706.129883,10680.360352,10767.089844,10503.19043,0.19129438717067582
140,2020-07-23,121642500,302.614014,318.466003,313.6719970000001,328.600006,10461.419922,10706.129883,10680.360352,10767.089844,0.19715224534501644
141,2020-07-24,96983000,283.399994,302.614014,318.466003,313.6719970000001,10363.179688,10461.419922,10706.129883,10680.360352,0.2052505966587112
142,2020-07-27,80243500,307.920013,283.399994,302.614014,318.466003,10536.269531,10363.179688,10461.419922,10706.129883,0.2492046659597031
143,2020-07-28,79043500,295.298004,307.920013,283.399994,302.614014,10402.089844,10536.269531,10363.179688,10461.419922,0.2546448087431694
144,2020-07-29,47134500,299.821991,295.298004,307.920013,283.399994,10542.94043,10402.089844,10536.269531,10363.179688,0.23174971031286212
145,2020-07-30,38105000,297.497986,299.821991,295.298004,307.920013,10587.80957,10542.94043,10402.089844,10536.269531,0.2760989010989011
146,2020-07-31,61235000,286.152008,297.497986,299.821991,295.298004,10745.269531,10587.80957,10542.94043,10402.089844,0.2188782489740082
147,2020-08-03,44046500,297.0,286.152008,297.497986,299.821991,10902.799805,10745.269531,10587.80957,10542.94043,0.2235294117647059
148,2020-08-04,42075000,297.399994,297.0,286.152008,297.497986,10941.169922,10902.799805,10745.269531,10587.80957,0.206993006993007
149,2020-08-05,24890000,297.003998,297.399994,297.0,286.152008,10998.400391,10941.169922,10902.799805,10745.269531,0.25718608169440244
150,2020-08-06,29961500,297.9159850000001,297.003998,297.399994,297.0,11108.070313,10998.400391,10941.169922,10902.799805,0.2445095168374817
151,2020-08-07,44482000,290.541992,297.9159850000001,297.003998,297.399994,11010.980469,11108.070313,10998.400391,10941.169922,0.2570281124497992
152,2020-08-10,37611500,283.713989,290.541992,297.9159850000001,297.003998,10968.360352,11010.980469,11108.070313,10998.400391,0.20179948586118251
153,2020-08-11,43129000,274.877991,283.713989,290.541992,297.9159850000001,10782.820313,10968.360352,11010.980469,11108.070313,0.25662650602409637
154,2020-08-12,109494000,310.951996,274.877991,283.713989,290.541992,11012.240234,10782.820313,10968.360352,11010.980469,0.2938196555217832
155,2020-08-13,102126500,324.200012,310.951996,274.877991,283.713989,11042.5,11012.240234,10782.820313,10968.360352,0.2493857493857494
156,2020-08-14,62888000,330.141998,324.200012,310.951996,274.877991,11019.299805,11042.5,11012.240234,10782.820313,0.22289156626506024
157,2020-08-17,101211500,367.127991,330.141998,324.200012,310.951996,11129.730469,11019.299805,11042.5,11012.240234,0.21100917431192662
158,2020-08-18,82372500,377.417999,367.127991,330.141998,324.200012,11210.839844,11129.730469,11019.299805,11042.5,0.207020702070207
159,2020-08-19,61026500,375.705994,377.417999,367.127991,330.141998,11146.459961,11210.839844,11129.730469,11019.299805,0.22174840085287847
160,2020-08-20,103059000,400.365997,375.705994,377.417999,367.127991,11264.950195,11146.459961,11210.839844,11129.730469,0.21672727272727274
161,2020-08-21,107448000,409.996002,400.365997,375.705994,377.417999,11311.799805,11264.950195,11146.459961,11210.839844,0.23295019157088123
162,2020-08-24,100318000,402.839996,409.996002,400.365997,375.705994,11379.719727,11311.799805,11264.950195,11146.459961,0.23117154811715482
163,2020-08-25,53294500,404.667999,402.839996,409.996002,400.365997,11466.469727,11379.719727,11311.799805,11264.950195,0.24363233665559247
164,2020-08-26,71197000,430.634003,404.667999,402.839996,409.996002,11665.05957,11466.469727,11379.719727,11311.799805,0.2605233219567691
